1,umpatan,penyimpangan,palsu,cebol,benar,kaki:sepatu,nelayan:sampan,listrik,elastis,Turin,BakatVerbal
2,potongankain,pengikisan,asli,cebol,cacat,pintu:rumah,nelayan:sampan,dasawarsa,elastis,London,tidak
3,potongankain,pengikisan,amatiran,raksasa,modern,kaki:sepatu,sarjana:toga,dasawarsa,elastis,Turin,BakatVerbal
4,sulaman,pemisahan,amatiran,mungil,cacat,kaki:sepatu,juara:medali,dasawarsa,elastis,Liverpool,tidak
5,umpatan,penggerusan,palsu,kerdil,benar,kaki:sepatu,sarjana:toga,pancawarsa,elastis,Birmingham,BakatVerbal
6,potongankain,pemisahan,palsu,raksasa,cacat,kaki:sepatu,sarjana:toga,pancawarsa,elastis,Liverpool,BakatVerbal
7,umpatan,penyimpangan,asli,raksasa,cacat,kaki:sepatu,sarjana:toga,pancawarsa,elastis,Turin,BakatVerbal
8,umpatan,pengikisan,palsu,kerdil,cacat,kaki:sepatu,sarjana:toga,dasawarsa,elastis,Turin,BakatVerbal
9,umpatan,pengikisan,amatiran,mungil,tepat,kaki:sepatu,sarjana:toga,listrik,elastis,Turin,BakatVerbal
10,umpatan,penyimpangan,asli,raksasa,tepat,kaki:sepatu,sarjana:toga,segilima,padat,Liverpool,BakatVerbal
11,umpatan,pemisahan,palsu,raksasa,benar,pintu:rumah,sarjana:toga,listrik,elastis,Birmingham,tidak
12,umpatan,penggerusan,palsu,kerdil,tepat,anting:giwang,sarjana:toga,pancawarsa,elastis,Birmingham,tidak
13,umpatan,penyimpangan,asli,raksasa,modern,kaki:sepatu,sarjana:toga,pancawarsa,elastis,Turin,BakatVerbal
14,umpatan,penggerusan,asli,mungil,cacat,kaki:sepatu,nelayan:sampan,pancawarsa,elastis,Birmingham,BakatVerbal
15,umpatan,penyimpangan,petir,cebol,modern,anting:giwang,pegawai:dasi,listrik,elastis,Birmingham,tidak
16,umpatan,penyimpangan,asli,raksasa,cacat,kaki:sepatu,juara:medali,listrik,elastis,Turin,BakatVerbal
17,umpatan,penyimpangan,asli,mungil,tepat,kaki:sepatu,juara:medali,listrik,kental,Birmingham,tidak
18,potongankain,penggerusan,amatiran,kerdil,cacat,kaki:sepatu,juara:medali,listrik,elastis,Birmingham,tidak
19, umpatan,penyimpangan,palsu,cebol,benar,kaki:sepatu,juara:medali,pancawarsa,elastis,Turin,BakatVerbal
20,umpatan,pengikisan,asli,raksasa,cacat,kaki:sepatu,sarjana:toga,pancawarsa,elastis,Turin,BakatVerbal
21,umpatan,penyimpangan,asli,cebol,benar,kaki:sepatu,sarjana:toga,listrik,kental,Turin,BakatVerbal
22,potongankain,penyimpangan,petir,mungil,benar,tangan:tilang,juara:medali,segilima,padat,Birmingham,tidak
23,potongankain,pengikisan,asli,cebol,cacat,pintu:rumah,nelayan:sampan,dasawarsa,kental,Birmingham,tidak
24,umpatan,pengikisan,amatiran,mungil,cacat,kaki:sepatu,sarjana:toga,listrik,elastis,Turin,BakatVerbal
25,umpatan,penyimpangan,palsu,cebol,benar,kaki:sepatu,pegawai:dasi,pancawarsa,luwes,London,tidak
26,potongankain,pemisahan,palsu,cebol,cacat,kaki:sepatu,pegawai:dasi,listrik,elastis,Birmingham,tidak
27,umpatan,penyimpangan,asli,raksasa,cacat,kaki:sepatu,sarjana:toga,pancawarsa,luwes,Liverpool,BakatVerbal
28,umpatan,penyimpangan,asli,raksasa,cacat,kaki:sepatu,sarjana:toga,pancawarsa,elastis,Birmingham,BakatVerbal
29,umpatan,penggerusan,palsu,mungil,benar,kaki:sepatu,pegawai:dasi,listrik,padat,Turin,tidak
30,umpatan,penggerusan,amatiran,cebol,tepat,tangan:tilang,juara:medali,listrik,luwes,Turin,tidak
31,umpatan,penyimpangan,asli,raksasa,cacat,pintu:rumah,sarjana:toga,pancawarsa,elastis,Birmingham,BakatVerbal
32,potongankain,pengikisan,amatiran,raksasa,cacat,kaki:sepatu,juara:medali,listrik,elastis,Turin,BakatVerbal
33,umpatan,pemisahan,amatiran,raksasa,cacat,kaki:sepatu,juara:medali,segilima,elastis,Turin,BakatVerbal
34,umpatan,penyimpangan,palsu,raksasa,cacat,kaki:sepatu,pegawai:dasi,pancawarsa,elastis,Liverpool,BakatVerbal
35,umpatan,penyimpangan,asli,raksasa,cacat,kaki:sepatu,sarjana:toga,pancawarsa,elastis,Turin,BakatVerbal
36,potongankain,pemisahan,asli,mungil,cacat,kaki:sepatu,sarjana:toga,dasawarsa,elastis,London,BakatVerbal
37,umpatan,penggerusan,amatiran,cebol,tepat,kaki:sepatu,sarjana:toga,pancawarsa,elastis,Turin,BakatVerbal
38,sulaman,pemisahan,palsu,raksasa,cacat,kaki:sepatu,sarjana:toga,dasawarsa,elastis,London,BakatVerbal
39,umpatan,penyimpangan,asli,raksasa,cacat,kaki:sepatu,sarjana:toga,listrik,elastis,Turin,BakatVerbal
